Name	Lat	Lng	SiteID	State	Type	Elevation
Upper Tsaina River	61.19112	-145.64807	1055	AK	SNTL	1750
Lightning Ridge	41.35891	-111.48749	1056	UT	SNTL	8215
Glen Cove	38.87583	-105.07367	1057	CO	SNTL	11460
Grayback	37.47033	-106.53783	1058	CO	SNTL	11620
Cochetopa Pass	38.16283	-106.59883	1059	CO	SNTL	10020
Sharkstooth	37.50357	-108.11373	1060	CO	SNTL	10720
Bear River	40.06153	-107.00955	1061	CO	SNTL	9080
Anchor River Divide	59.85972	-151.315	1062	AK	SNTL	1653
Kachemak Creek	59.72893	-150.66113	1063	AK	SNTL	1660
Middle Fork Bradley	59.77683	-150.75733	1064	AK	SNTL	2300
Gutz Peak	37.49617	-113.94235	1065	UT	SNTL	6763
Gardner Peak	37.40083	-113.45988	1066	UT	SNTL	8322
Carson Pass	38.6927	-120.0022	1067	CA	SNTL	8360
Sawmill Ridge	47.15992	-121.42172	1068	WA	SNTL	4640
Lynn Lake	47.20172	-121.77972	1069	WA	SNTL	3900
Anchorage Hillside	61.11483	-149.66683	1070	AK	SNTL	2080
Esther Island	60.798	-148.0857	1071	AK	SNTL	50
Kantishna	63.54167	-150.994	1072	AK	SNTL	1550
Mt. Eyak	60.55	-145.745	1073	AK	SNTL	1405
Swan Lake Mtn	42.41323	-121.68002	1077	OR	SNTL	6830
Sun Pass	42.78637	-121.97715	1078	OR	SNTL	5400
Milk Shakes	45.9821	-117.94883	1079	OR	SNTL	5580
Brown Top	48.92755	-121.19713	1080	WA	SNTL	5830
Ragged Mountain	47.85583	-117.03667	1081	ID	SNTL	4210
Grand Targhee	43.77933	-110.92783	1082	WY	SNTL	9260
Tres Ritos	36.12778	-105.52714	1083	NM	SNTL	8600
Miller Woods	45.24755	-123.27563	1084	OR	SNTL	420
Cayuse Pass	46.86954	-121.5343	1085	WA	SNTL	5240
Tokositna Valley	62.63	-150.77617	1089	AK	SNTL	850
Upper Nome Creek	65.3671	-146.592	1090	AK	SNTL	2520
Independence Mine	61.79117	-149.27967	1091	AK	SNTL	3550
Exit Glacier	60.19033	-149.62117	1092	AK	SNTL	400
Chisana	62.069	-142.049	1093	AK	SNTL	3320
Monahan Flat	63.30533	-147.64633	1094	AK	SNTL	2710
Sugarloaf Mtn	61.081	-146.2995	1095	AK	SNTL	550
May Creek	61.34783	-142.70967	1096	AK	SNTL	1610
Timberline	39.67712	-110.43395	1097	UT	SNTL	8736
Usu Doc Daniel	41.86425	-111.50603	1098	UT	SNTL	8270
Jones Corral	38.07125	-112.16788	1099	UT	SNTL	9749
Saint Elmo	38.69978	-106.36801	1100	CO	SNTL	10540
Chapman Tunnel	39.26217	-106.62931	1101	CO	SNTL	10110
Hayden Pass	38.29326	-105.8505	1102	CO	SNTL	10720
Mt. Alyeska	60.95983	-149.08617	1103	AK	SNTL	1540
Pepper Creek	46.10242	-121.95555	1104	WA	SNTL	2140
East Boulder Mine	45.50381	-110.08019	1105	MT	SNTL	6335
Elk Peak	46.4845	-110.7125	1106	MT	SNTL	7600
Buckinghorse	47.7086	-123.45747	1107	WA	SNTL	4870
Calamity	45.90362	-122.21633	1109	WA	SNTL	2500
Rainbow Canyon	36.2493	-115.62972	1110	NV	SNTL	7860
Bristlecone Trail	36.31575	-115.69543	1111	NV	SNTL	8890
Lee Canyon	36.30537	-115.67508	1112	NV	SNTL	8626
Tony Grove RS	41.88573	-111.56918	1113	UT	SNTL	6332
Garden City Summit	41.9215	-111.4693	1114	UT	SNTL	7705
Klondike Narrows	41.96769	-111.59713	1115	UT	SNTL	7250
Lakefork #3	40.5502	-110.3529	1116	UT	SNTL	8464
Spirit Lk	40.83868	-110.00527	1117	UT	SNTL	10235
Lost Creek Resv	41.22155	-111.35947	1118	UT	SNTL	6082
Blackhall Mtn	41.05616	-106.71384	1119	WY	SNTL	9820
Elliot Ridge	39.864	-106.4246	1120	CO	SNTL	10520
Fort Valley	35.26806	-111.74486	1121	AZ	SNTL	7350
Hourglass Lake	40.57913	-105.63068	1122	CO	SNTL	9380
Long Draw Resv	40.5123	-105.7656	1123	CO	SNTL	9980
Moon Pass	37.96661	-106.55837	1124	CO	SNTL	11140
Mormon Mtn Summit	34.96964	-111.50922	1125	AZ	SNTL	8500
Nutrioso	33.89747	-109.15517	1127	AZ	SNTL	8500
Sargents Mesa	38.28555	-106.37069	1128	CO	SNTL	11530
Indian Rock	45.99077	-120.80767	1129	WA	SNTL	5360
Castle Creek	43.6748	-109.3774	1130	WY	SNTL	8400
Little Goose	44.54315	-107.17865	1131	WY	SNTL	8870
Soldier Park	44.34847	-107.0136	1132	WY	SNTL	8720
Pocket Creek	42.7121	-109.4112	1133	WY	SNTL	9360
Larsen Creek	42.5801	-109.0883	1134	WY	SNTL	9000
Burts Miller Ranch	40.98492	-110.85075	1135	UT	SNTL	8000
Toe Jam	41.3187	-116.3408	1136	NV	SNTL	7690
Vacarro Springs	39.4495	-115.9834	1137	NV	SNTL	7890
Navajo Whiskey Ck	36.17728	-108.94691	1138	NM	SNTL	9050
Chalender	35.26247	-112.06231	1139	AZ	SNTL	7100
Baker Butte Smt	34.45547	-111.38272	1140	AZ	SNTL	7700
Upper Taylor	38.99077	-106.75422	1141	CO	SNTL	10640
Pierce R.S.	46.49597	-115.7957	1142	ID	SNTL	3080
Beaver Spring	36.32678	-109.05711	1143	AZ	SNTL	9200
Blacktail Mtn	47.98288	-114.3543	1144	MT	SNTL	5650
Kilfoil Creek	41.24764	-111.41249	1145	UT	SNTL	7220
Oak Creek	39.3485	-112.32639	1146	UT	SNTL	7850
Wheeler Peak	39.00995	-114.31021	1147	NV	SNTL	10060
Panguitch Lake RS	37.70463	-112.65037	1148	UT	SNTL	8350
Fish Lake Utah	38.50455	-111.76693	1149	UT	SNTL	8798
Kalamazoo	39.5579	-114.62762	1150	NV	SNTL	7775
George Creek	41.91562	-113.41154	1151	UT	SNTL	8964
Cave Mountain	39.16337	-114.6133	1152	NV	SNTL	10578
Buckboard Flat	37.86943	-109.44717	1153	UT	SNTL	8924
Brian Head	37.67994	-112.85674	1154	UT	SNTL	10039
Bird Creek	39.46138	-114.64863	1155	NV	SNTL	7537
Box Springs	38.49746	-112.00779	1156	UT	SNTL	9228
Howard Prairie	42.215	-122.3713	1158	OR	SNTL	4580
Gold Axe Camp	48.9516	-118.9864	1159	WA	SNTL	5360
Weminuche Creek	37.51976	-107.32152	1160	CO	SNTL	10740
Black Mountain	40.888	-105.66397	1161	CO	SNTL	8920
Blacks Fork Jct	40.95814	-110.5828	1162	UT	SNTL	8869
EF Blacks Fork GS	40.88472	-110.54056	1163	UT	SNTL	9360
Bear Grass	44.3253	-122.0938	1166	OR	SNTL	4720
Smith Ridge	44.30325	-122.04053	1167	OR	SNTL	3270
Taos Powderhorn	36.58203	-105.45611	1168	NM	SNTL	11057
Shuree	36.78778	-105.23999	1169	NM	SNTL	10100
Palo	36.40848	-105.33063	1170	NM	SNTL	9350
Trinity	48.0747	-120.8493	1171	WA	SNTL	2930
San Antonio Sink	36.8622	-106.22502	1172	NM	SNTL	9100
Garita Peak	36.005	-106.54838	1173	NM	SNTL	10160
Fairbanks F.O.	64.85	-147.8	1174	AK	SNTL	450
Kelly Station	67.93333	-162.28333	1175	AK	SNTL	310
Moore Creek Bridge	59.58783	-135.2105	1176	AK	SNTL	2250
Prudhoe Bay	70.26666	-148.56666	1177	AK	SNTL	30
Bettles Field	66.91667	-151.53333	1182	AK	SNTL	640
Sagwon	69.42417	-148.6925	1183	AK	SNTL	1000
Gooseberry RS Up	38.7882	-111.68892	1184	UT	SNTL	8396
Black Mesa	37.78972	-108.18365	1185	CO	SNTL	11580
Fool Creek	39.8687	-105.8675	1186	CO	SNTL	11150
High Lonesome	40.03592	-105.75471	1187	CO	SNTL	10620
Wager Gulch	37.88248	-107.3643	1188	CO	SNTL	11100
American Creek	64.78969	-141.23376	1189	AK	SNTL	1050
Mcneil River SGS	59.08332	-154.27543	1191	AK	SNTL	140
Buck Pasture	40.84456	-110.66068	1192	UT	SNTL	9632
Summit Lk	41.48953	-118.99663	1194	NV	SNTL	7615
Golconda	40.88358	-117.58812	1195	NV	SNTL	6616
Med Bow	41.37833	-106.34681	1196	WY	SNTL	10500
Yankee Reservoir	37.74797	-112.77495	1197	UT	SNTL	8692
Tent Mtn Lower	40.97852	-115.17215	1202	NV	SNTL	7100
Stag Mountain	41.408	-115.4464	1203	NV	SNTL	7640
Columbia Basin	41.67167	-116.07033	1204	NV	SNTL	6483
Silver Creek Nv	39.23305	-114.2429	1205	NV	SNTL	8200
Midas	41.26873	-116.80332	1206	NV	SNTL	6630
Merritt Mountain	41.8927	-115.858	1207	NV	SNTL	6915
Snowstorm Mtn	41.33981	-116.98044	1208	NV	SNTL	7403
Corduroy Flat	38.99651	-115.42478	1209	NV	SNTL	8640
Defiance Mines	39.08527	-114.89977	1210	NV	SNTL	9302
Jakes Creek	41.5687	-115.03243	1211	NV	SNTL	7380
Bar M	34.86136	-111.60503	1212	AZ	SNTL	6393
White River Nv	38.94557	-115.37922	1213	NV	SNTL	7367
Bevans Cabin	40.46182	-112.25233	1214	UT	SNTL	6520
Lasal Mountain-Lower	38.48167	-109.29164	1215	UT	SNTL	8783
Huntington Horse	39.61774	-111.30576	1216	UT	SNTL	9652
Rees Flat	39.49667	-111.72508	1217	UT	SNTL	7206
GBRC HQ	39.32019	-111.48827	1221	UT	SNTL	8801
GBRC Meadows	39.30229	-111.45383	1222	UT	SNTL	9858
Hobble Creek	40.18538	-111.35971	1223	UT	SNTL	7377
Mt Baldy	39.13648	-111.50527	1224	UT	SNTL	9524
Redden Mine Lwr	40.67505	-111.21765	1225	UT	SNTL	8532
Thistle Flat	39.23803	-111.51998	1226	UT	SNTL	8787
Upper Joes Valley	39.4155	-111.2491	1227	UT	SNTL	8596
Wrigley Creek	39.13233	-111.35685	1228	UT	SNTL	9327
Satus Pass	45.98797	-120.67734	1231	WA	SNTL	3960
Corral	39.65795	-110.37906	1236	UT	SNTL	8207
Little Valley	39.25259	-119.8771	1242	NV	SNTL	6493
Dry Creek	40.8638	-115.22014	1243	NV	SNTL	6555
Pole Canyon	40.86293	-115.12067	1244	NV	SNTL	7760
Takka Wiiya	39.74104	-113.98262	1247	UT	SNTL	9122
Suu Ranch	37.59711	-112.92949	1248	UT	SNTL	8050
Sunflower Flat	38.048	-111.33981	1249	UT	SNTL	10018
Sawtooth	40.13697	-105.58625	1251	CO	SNTL	9620
Elkhead Divide	40.79649	-107.10122	1252	CO	SNTL	8780
Rio Santa Barbara	36.07192	-105.62947	1254	NM	SNTL	10664
Gold Mountain	48.18934	-118.4559	1256	WA	SNTL	4390
Skate Creek	46.64336	-121.83044	1257	WA	SNTL	3770
State Line	41.98609	-120.71574	1258	CA	SNTL	5680
Muckamuck	48.58526	-119.86624	1259	WA	SNTL	4470
Lonesome Beaver	38.07	-110.77241	1261	UT	SNTL	9410
Fry Canyon	41.57022	-115.93645	1262	NV	SNTL	6798
Pinto Rock	46.32318	-121.94219	1263	WA	SNTL	4440
Lower Kachemak Creek	59.73507	-150.69327	1265	AK	SNTL	1915
Telaquana Lake	60.98243	-153.91772	1266	AK	SNTL	1275
Alexander Lake	61.74967	-150.88967	1267	AK	SNTL	160
Fielding Lake	63.20267	-145.6305	1268	AK	SNTL	3000
Mt Pennell	37.97793	-110.7933	1269	UT	SNTL	9209
Heen Latinee	58.69652	-134.86448	1270	AK	SNTL	2065
Hawley Lake	33.97142	-109.76528	1271	AZ	SNTL	8300
ONeil Creek	41.8642	-115.08316	1272	NV	SNTL	6520
Jack Wade Jct	64.1529	-141.32693	1275	AK	SNTL	3585
Fredonyer Peak	40.68799	-120.60805	1277	CA	SNTL	7208
Bobs Hollow	38.94569	-112.15349	1278	UT	SNTL	9319
Santaquin Meadows	39.92076	-111.71802	1280	UT	SNTL	7835
Flower Mountain	59.39617	-136.28123	1285	AK	SNTL	2510
JL Meadow	44.77665	-113.12217	1287	MT	SNTL	8800
KODIAK	57.75	-152.48333	201	AK	SNTL	19
Reynolds Creek	43.28863	-116.8431	2029	ID	SNTL	5600
Porter Canyon	39.46544	-117.62069	2170	NV	SNTL	7187
Adin Mtn	41.23583	-120.79192	301	CA	SNTL	6190
Aneroid Lake #2	45.21328	-117.19258	302	OR	SNTL	7400
Apishapa	37.33062	-105.06749	303	CO	SNTL	10000
Arbuckle Mtn	45.19085	-119.25392	304	OR	SNTL	5770
Atlanta Summit	43.7569	-115.23907	306	ID	SNTL	7580
Badger Pass	48.13088	-113.02317	307	MT	SNTL	6900
Baker Butte	34.4566	-111.40643	308	AZ	SNTL	7300
Bald Mtn.	44.8007	-107.84442	309	WY	SNTL	9380
Baldy	33.97883	-109.50344	310	AZ	SNTL	9125
Banfield Mountain	48.5712	-115.44573	311	MT	SNTL	5600
Banner Summit	44.30342	-115.23447	312	ID	SNTL	7040
Barker Lakes	46.09713	-113.13038	313	MT	SNTL	8250
Base Camp	43.94019	-110.44544	314	WY	SNTL	7060
Basin Creek	45.79737	-112.52047	315	MT	SNTL	7180
Bateman	36.51216	-106.32129	316	NM	SNTL	9300
Battle Mountain	41.05413	-107.26609	317	WY	SNTL	7440
Beagle Springs	44.47147	-112.98191	318	MT	SNTL	8850
Bear Basin	44.95222	-116.14293	319	ID	SNTL	5350
Bear Canyon	43.74367	-113.93797	320	ID	SNTL	7900
Bear Creek	41.83384	-115.45278	321	NV	SNTL	8040
Bear Lake	40.31118	-105.64483	322	CO	SNTL	9500
Bear Mountain	48.30577	-116.07448	323	ID	SNTL	5400
Bear Saddle	44.60533	-116.98097	324	ID	SNTL	6180
Bear Trap Meadow	43.88743	-107.06135	325	WY	SNTL	8200
Beartooth Lake	44.94307	-109.56743	326	WY	SNTL	9360
Beartown	37.71409	-107.51212	327	CO	SNTL	11600
Beaver Creek	44.94966	-111.35852	328	MT	SNTL	7850
Beaver Dams	39.13683	-111.55813	329	UT	SNTL	7990
Beaver Divide	40.61233	-111.09782	330	UT	SNTL	8280
Beaver Reservoir	45.14532	-118.219	331	OR	SNTL	5150
Ben Lomond Peak	41.37603	-111.94405	332	UT	SNTL	7689
Ben Lomond Trail	41.38291	-111.92103	333	UT	SNTL	5972
Berry Creek	39.31917	-114.62278	334	NV	SNTL	9377
Berthoud Summit	39.80392	-105.77789	335	CO	SNTL	11300
Big Bend	41.76168	-115.6931	336	NV	SNTL	6898
Big Creek Sum	39.29148	-117.11506	337	NV	SNTL	8685
Big Creek Summit	44.62621	-115.79561	338	ID	SNTL	6560
Big Flat	38.30183	-112.35672	339	UT	SNTL	10349
Big Meadow	39.455	-119.9422	340	NV	SNTL	8235
Big Red Mountain	42.05257	-122.85487	341	OR	SNTL	6050
Big Sandy Opening	42.6458	-109.25965	342	WY	SNTL	9080
Bigelow Camp	42.07875	-123.34393	343	OR	SNTL	5130
Billie Creek Divide	42.40717	-122.26617	344	OR	SNTL	5280
Bison Lake	39.76487	-107.35681	345	CO	SNTL	10880
Bisson Creek	47.68389	-113.99901	346	MT	SNTL	4920
Black Bear	44.50832	-111.12803	347	MT	SNTL	8170
Black Flat-U.M. Ck	38.6799	-111.59765	348	UT	SNTL	9414
Black Pine	46.414	-113.43095	349	MT	SNTL	7210
Blackwater	44.37667	-109.79333	350	WY	SNTL	9780
Blazed Alder	45.4287	-121.85605	351	OR	SNTL	3650
Blewett Pass	47.35037	-120.6796	352	WA	SNTL	4240
Blind Bull Sum	42.964	-110.60973	353	WY	SNTL	8650
Blind Park	44.10772	-103.97688	354	SD	SNTL	6890
Bloody Dick	45.16507	-113.50099	355	MT	SNTL	7600
Blue Lakes	38.608	-119.92437	356	CA	SNTL	8067
Blue Mountain Spring	44.24767	-118.51722	357	OR	SNTL	5870
Bone Springs Div	44.67888	-107.5811	358	WY	SNTL	9350
Bostetter R.S.	42.16442	-114.19272	359	ID	SNTL	7500
Boulder Mountain	46.5596	-111.28973	360	MT	SNTL	7950
Bourne	44.83052	-118.18787	361	OR	SNTL	5850
Bowman Springs	45.36428	-118.46715	362	OR	SNTL	4530
Box Canyon	45.2719	-110.24903	363	MT	SNTL	6670
Box Creek	38.50809	-112.01856	364	UT	SNTL	9853
Brackett Creek	45.89107	-110.93851	365	MT	SNTL	7320
Brighton	40.59936	-111.58167	366	UT	SNTL	8766
Brooklyn Lake	41.35885	-106.23209	367	WY	SNTL	10240
Brown Duck	40.58102	-110.58587	368	UT	SNTL	10574
Brumley	39.08766	-106.5417	369	CO	SNTL	10600
Brundage Reservoir	45.04315	-116.13253	370	ID	SNTL	6250
Buck Flat	39.134	-111.43722	371	UT	SNTL	9409
Buckskin Lower	41.75067	-117.53182	373	NV	SNTL	6930
Bug Lake	41.68541	-111.41987	374	UT	SNTL	7987
Bumping Ridge	46.81003	-121.33058	375	WA	SNTL	4610
Bunchgrass Mdw	48.68688	-117.17633	376	WA	SNTL	5000
Burgess Junction	44.78765	-107.52917	377	WY	SNTL	7880
Burro Mountain	39.87505	-107.59853	378	CO	SNTL	9400
Burroughs Creek	43.69733	-109.67021	379	WY	SNTL	8750
Butte	38.89433	-106.953	380	CO	SNTL	10160
Calvert Creek	45.8838	-113.32553	381	MT	SNTL	6430
Camas Creek Divide	43.26548	-115.3453	382	ID	SNTL	5710
Camp Jackson	37.81333	-109.48723	383	UT	SNTL	8858
Canyon	44.71961	-110.51084	384	WY	SNTL	7870
Carrot Basin	44.96192	-111.29403	385	MT	SNTL	9000
Cascade	37.65083	-107.80602	386	CO	SNTL	8880
Cascade #2	37.658	-107.80268	387	CO	SNTL	8920
Cascade Summit	43.59042	-122.0601	388	OR	SNTL	5100
Casper Mtn.	42.73389	-106.31861	389	WY	SNTL	7900
Castle Valley	37.66098	-112.74093	390	UT	SNTL	9607
Cedar Pass	41.58233	-120.3025	391	CA	SNTL	7030
Chalk Creek #1	40.85464	-111.04765	392	UT	SNTL	9171
Chalk Creek #2	40.88529	-111.06954	393	UT	SNTL	8208
Chamita	36.95636	-106.65682	394	NM	SNTL	8400
Chemult Alternate	43.22625	-121.80662	395	OR	SNTL	4850
Chepeta	40.77458	-110.0105	396	UT	SNTL	10499
Clackamas Lake	45.09658	-121.75443	398	OR	SNTL	3400
Clear Creek #1	39.86671	-111.28363	399	UT	SNTL	8975
Clear Creek #2	39.89275	-111.25154	400	UT	SNTL	7837
Clear Lake	45.18832	-121.6916	401	OR	SNTL	3810
Cloud Peak Reservoir	44.40343	-107.06057	402	WY	SNTL	9860
Clover Meadow	45.01788	-111.8456	403	MT	SNTL	8600
Cold Springs	43.27676	-109.44585	405	WY	SNTL	9630
Cold Springs Camp	42.53305	-122.17683	406	OR	SNTL	5940
Cole Creek	45.19405	-109.34548	407	MT	SNTL	7850
Columbine	40.3948	-106.60408	408	CO	SNTL	9160
Columbine Pass	38.41795	-108.38249	409	CO	SNTL	9400
Combination	46.46523	-113.39358	410	MT	SNTL	5600
Cool Creek	46.76361	-115.29528	411	ID	SNTL	6280
Copeland Lake	40.20778	-105.56861	412	CO	SNTL	8600
Copper Bottom	47.05678	-112.595	413	MT	SNTL	5200
Copper Camp	47.08158	-112.72955	414	MT	SNTL	6950
Copper Mountain	39.48954	-106.17095	415	CO	SNTL	10550
Coronado Trail	33.80392	-109.15282	416	AZ	SNTL	8400
Corral Canyon	40.27551	-115.54017	417	NV	SNTL	8445
Corral Pass	47.01872	-121.46464	418	WA	SNTL	5800
Cottonwood Creek	42.6459	-110.81482	419	WY	SNTL	7670
Cougar Mountain	47.27666	-121.67138	420	WA	SNTL	3200
County Line	45.19107	-118.55015	422	OR	SNTL	4830
Cozy Cove	44.28846	-115.65508	423	ID	SNTL	5400
Crab Creek	44.437	-111.99384	424	ID	SNTL	6900
Crater Meadows	46.56394	-115.28903	425	ID	SNTL	5960
Crosho	40.16745	-107.0575	426	CO	SNTL	9100
Crystal Lake	46.78942	-109.51205	427	MT	SNTL	6050
Css Lab	39.32565	-120.36807	428	CA	SNTL	6894
Galena AK	64.69662	-156.71497	429	AK	SNTL	410
Culebra #2	37.20945	-105.19959	430	CO	SNTL	10500
Cumbres Trestle	37.01878	-106.45179	431	CO	SNTL	10040
Currant Creek	40.35747	-111.08993	432	UT	SNTL	7915
Daly Creek	46.18367	-113.8533	433	MT	SNTL	5780
Daly Lake	44.52147	-122.08718	434	OR	SNTL	3690
Daniels-Strawberry	40.2953	-111.25677	435	UT	SNTL	8008
Darkhorse Lake	45.17367	-113.58448	436	MT	SNTL	8945
Deadman Creek	46.79279	-110.67545	437	MT	SNTL	6450
Deadman Hill	40.80571	-105.76993	438	CO	SNTL	10220
Deadwood Summit	44.54514	-115.5638	439	ID	SNTL	6860
Derr.	44.4465	-119.93012	440	OR	SNTL	5850
Diamond Lake	43.18787	-122.14003	442	OR	SNTL	5280
Diamond Peak	39.56361	-115.84421	443	NV	SNTL	8017
Dills Camp	39.04554	-111.46875	444	UT	SNTL	9228
Disaster Peak	41.96737	-118.18934	445	NV	SNTL	6260
Dismal Swamp	41.99127	-120.18033	446	CA	SNTL	7360
Divide	44.79317	-112.05645	448	MT	SNTL	7800
Divide Peak	41.30398	-107.15241	449	WY	SNTL	8880
Dollarhide Summit	43.6025	-114.67417	450	ID	SNTL	8420
Dome Lake	44.57462	-107.29537	451	WY	SNTL	8880
Donkey Reservoir	38.2084	-111.47412	452	UT	SNTL	9799
Dorsey Basin	40.89343	-115.21104	453	NV	SNTL	7903
Draw Creek	41.661	-115.3234	454	NV	SNTL	7332
Dry Bread Pond	41.41289	-111.5377	455	UT	SNTL	8302
Dry Lake	40.53397	-106.7813	457	CO	SNTL	8400
Dupuyer Creek	48.06341	-112.7573	458	MT	SNTL	5750
East Rim Divide	43.13097	-110.2023	460	WY	SNTL	7930
East Willow Creek	39.31213	-109.53179	461	UT	SNTL	8302
Ebbetts Pass	38.5497	-119.80468	462	CA	SNTL	8661
Echo Peak	38.849	-120.0795	463	CA	SNTL	7653
Eilertson Meadows	44.86887	-118.11387	464	OR	SNTL	5510
El Diente Peak	37.78617	-108.02155	465	CO	SNTL	10000
Elk Butte	46.83998	-116.12233	466	ID	SNTL	5690
Elk River	40.84781	-106.96871	467	CO	SNTL	8700
Elkhart Park G.S.	43.00657	-109.75893	468	WY	SNTL	9400
Emery Creek	48.43412	-113.93725	469	MT	SNTL	4350
Emigrant Springs	45.55808	-118.45383	470	OR	SNTL	3800
Emigrant Summit	42.36055	-111.56085	471	ID	SNTL	7390
Evening Star	44.65258	-109.78422	472	WY	SNTL	9200
Fallen Leaf	38.93403	-120.0545	473	CA	SNTL	6242
Farmington	40.97462	-111.80975	474	UT	SNTL	7902
Farnsworth Lake	38.77246	-111.67662	475	UT	SNTL	9623
Fawn Creek	41.82098	-116.10153	476	NV	SNTL	7031
Fish Creek	42.70992	-118.6321	477	OR	SNTL	7660
Fish Lake	47.53565	-121.08553	478	WA	SNTL	3430
Fish Lk.	42.3801	-122.34943	479	OR	SNTL	4660
Fisher Creek	45.06235	-109.94488	480	MT	SNTL	9100
Five Points Lake	40.71785	-110.46721	481	UT	SNTL	10943
Flattop Mtn.	48.80225	-113.85713	482	MT	SNTL	6300
Fourmile Lake	42.43933	-122.2288	483	OR	SNTL	5970
Franklin Basin	42.0505	-111.6012	484	ID	SNTL	8140
Fremont Pass	39.37991	-106.19681	485	CO	SNTL	11400
Frisco Divide	33.73646	-108.94502	486	NM	SNTL	8000
Frohner Meadow	46.43545	-112.19277	487	MT	SNTL	6480
Fry	35.07297	-111.84374	488	AZ	SNTL	7200
Galena	43.87722	-114.6725	489	ID	SNTL	7470
Galena Summit	43.87497	-114.71363	490	ID	SNTL	8780
Gallegos Peak	36.19446	-105.55795	491	NM	SNTL	9800
Garfield R.S.	43.6104	-113.9308	492	ID	SNTL	6560
Giveout	42.4132	-111.1663	493	ID	SNTL	6930
Gold Center	44.7638	-118.3117	494	OR	SNTL	5410
Gooseberry RS	38.80034	-111.68333	495	UT	SNTL	7944
Graham Guard Sta.	43.9538	-115.27387	496	ID	SNTL	5690
Granite Creek	43.34298	-110.43495	497	WY	SNTL	6770
Granite Peak	41.67032	-117.56668	498	NV	SNTL	8503
Grassy Lake	44.12612	-110.83435	499	WY	SNTL	7265
Grave Creek	48.91453	-114.76663	500	MT	SNTL	4300
Grave Springs	43.46643	-107.23977	501	WY	SNTL	8550
Green Lake	46.54741	-121.17093	502	WA	SNTL	5920
Green Mountain	40.3848	-115.52757	503	NV	SNTL	8185
Greenpoint	45.62237	-121.70415	504	OR	SNTL	3310
Grizzly Peak	39.64631	-105.86973	505	CO	SNTL	11100
Gros Ventre Summit	43.38939	-110.12943	506	WY	SNTL	8750
Grouse Camp	47.28107	-120.48771	507	WA	SNTL	5390
Hagans Meadow	38.8519	-119.9374	508	CA	SNTL	7742
Hams Fork	42.146	-110.67833	509	WY	SNTL	7840
Hand Creek	48.30754	-114.84075	510	MT	SNTL	5035
Hannagan Meadows	33.65387	-109.30952	511	AZ	SNTL	9020
Hansen Sawmill	44.25602	-106.97983	512	WY	SNTL	8360
